DT,NDVI,P,ET,LST
2013-12-20,0.5195,1.5735,45.9297,36.8267
2013-12-31,0.45899999999999996,2.4805,50.7396,35.9802
2014-01-10,0.4141,1.7314,47.9675,38.2577
2014-01-20,0.3837,1.4723,49.958999999999996,39.3321
2014-01-31,0.3631,1.9906,61.7972,40.9507
2014-02-10,0.3447,3.8599,55.7059,41.2733
2014-02-20,0.3298,3.228,50.3134,41.2293
2014-02-28,0.3271,1.6981,49.5919,41.4344
2014-03-10,0.3421,3.5284,64.2442,42.9313
2014-03-20,0.3777,23.5765,53.7692,39.1685
2014-03-31,0.4309,31.4335,56.93,37.8724
2014-04-10,0.485,37.9139,51.213,36.3422
2014-04-20,0.5284,19.2144,48.6454,32.5083
2014-04-30,0.5579999999999999,21.5463,46.2735,33.638000000000005
2014-05-10,0.5805,67.6252,38.918,32.3478
2014-05-20,0.5985,25.8305,39.3436,31.1659
2014-05-31,0.6002,39.4878,47.9664,30.5202
2014-06-10,0.5721,8.4724,52.3967,33.0631
2014-06-20,0.5103,3.4674,52.766999999999996,32.5385
2014-06-30,0.4394,5.9784,52.8055,32.1426
2014-07-10,0.3834,9.4727,52.6172,33.6534
2014-07-20,0.3537,6.2104,52.3463,32.6317
2014-07-31,0.3516,13.4923,57.9412,35.2472
2014-08-10,0.361,10.9485,56.7751,36.6809
2014-08-20,0.3742,8.6662,60.6256,34.0245
2014-08-31,0.392,37.4157,63.588,37.3804
2014-09-10,0.4148,18.2002,57.5602,35.668
2014-09-20,0.4448,16.4054,53.0418,35.8275
2014-09-30,0.4837,16.8645,51.8335,34.3155
2014-10-10,0.5347,82.6187,36.351,30.205
2014-10-20,0.5938,38.6149,42.1345,29.2584
2014-10-31,0.632,32.5,45.3937,29.2569
2014-11-10,0.6414,4.0506,45.1957,30.1777
2014-11-20,0.6306,5.0168,43.8541,29.4729
2014-11-30,0.6084,13.7987,39.2628,30.0828
2014-12-10,0.5685,2.4823,45.918,32.3449
2014-12-20,0.5211,2.5508,47.6465,36.3296
2014-12-31,0.4698,4.1041,53.7253,38.8389
2015-01-10,0.4215,1.8655,51.6809,40.6371
2015-01-20,0.3824,1.6654,56.4536,40.4393
2015-01-31,0.3537,2.3176,61.6243,41.6317
2015-02-10,0.3348,5.8816,61.1951,43.0526
2015-02-20,0.3204,3.5399,62.4966,43.7263
2015-02-28,0.3106,2.2378,51.3594,43.0576
2015-03-10,0.3142,5.6276,68.8273,45.1142
2015-03-20,0.33899999999999997,5.6521,66.8198,43.1234
2015-03-31,0.3828,22.7215,53.9748,36.7854
2015-04-10,0.4386,53.0196,46.9785,37.0542
2015-04-20,0.4887,56.2089,45.7016,35.4657
2015-04-30,0.5266,62.9386,44.8224,34.8348
2015-05-10,0.5552,48.7238,36.4709,31.5238
2015-05-20,0.5779,24.8974,45.333999999999996,31.4641
2015-05-31,0.5849,40.6816,48.3029,32.2309
2015-06-10,0.5754,18.9215,47.1368,29.7536
2015-06-20,0.5437,5.5227,48.5429,30.5799
2015-06-30,0.505,10.062000000000001,51.842,33.2219
2015-07-10,0.4639,11.0491,54.7374,34.0116
2015-07-20,0.4232,11.3922,55.6412,34.1467
2015-07-31,0.3953,11.745999999999999,62.0676,33.8205
2015-08-10,0.3825,5.8492,53.7857,34.7642
2015-08-20,0.381,11.9759,61.0463,37.6621
2015-08-31,0.3858,5.8167,67.7951,38.7875
2015-09-10,0.3862,19.5528,66.2428,39.5587
2015-09-20,0.3871,14.5161,64.0789,39.9419
2015-09-30,0.4068,17.1758,57.0263,38.0556
2015-10-10,0.4587,34.5305,47.6976,33.9352
2015-10-20,0.5369,37.5479,43.8279,31.1133
2015-10-31,0.6097,23.7698,43.9118,28.5207
2015-11-10,0.6451,17.3342,39.6554,28.6155
2015-11-20,0.6528,14.0546,39.6258,29.076999999999998
2015-11-30,0.6337,5.7668,43.7783,32.3211
2015-12-10,0.5906,1.5491,45.1284,34.529
2015-12-20,0.5359,1.9152,44.3429,35.8359
2015-12-31,0.4815,2.8748,51.7397,37.3556
2016-01-10,0.4333,2.802,50.6127,38.5048
2016-01-20,0.3925,4.6623,44.9835,38.0321
2016-01-31,0.3623,3.2411,58.7044,38.8989
2016-02-10,0.3413,2.7148,60.0768,43.5938
2016-02-20,0.3346,2.4699,63.0085,43.7982
2016-02-28,0.3412,6.5583,54.9306,43.023
2016-03-10,0.3531,24.7435,53.4025,40.2953
2016-03-20,0.3667,3.5236,61.882,42.2338
2016-03-31,0.3862,4.9419,70.0326,43.1956
2016-04-10,0.4231,118.4014,45.2185,37.2874
2016-04-20,0.4862,66.9033,40.5207,31.7035
2016-04-30,0.5622,70.5114,39.8971,32.4843
2016-05-10,0.6165,74.1784,38.3995,29.6751
2016-05-20,0.6342,37.078,43.5668,29.9187
2016-05-31,0.6136,19.4671,52.0673,32.1677
2016-06-10,0.5638,10.4051,50.6246,34.1923
2016-06-20,0.5015,10.5068,47.5885,32.606
2016-06-30,0.4476,10.1681,47.5245,28.0047
2016-07-10,0.41600000000000004,7.5698,48.3834,32.8409
2016-07-20,0.4058,5.6277,53.6878,33.7922
2016-07-31,0.4059,7.8694,59.0538,35.1545
2016-08-10,0.4086,15.0777,48.1724,35.1546
2016-08-20,0.4101,6.632999999999999,56.6891,36.3947
2016-08-31,0.4085,13.8038,66.2046,36.941
2016-09-10,0.4047,13.0273,59.6461,39.4047
2016-09-20,0.4022,10.6849,61.4964,38.946999999999996
2016-09-30,0.4169,22.4487,54.4948,38.1629
2016-10-10,0.4533,23.8539,44.071000000000005,33.9508
2016-10-20,0.5052,24.934,41.553999999999995,31.13
