DT,NDVI,P,ET,LST
2013-09-30,0.6056,41.5516,44.4855,31.4389
2013-10-10,0.6345,68.2836,42.3299,25.7503
2013-10-20,0.6795,63.7103,41.2958,26.5246
2013-10-31,0.7278,34.1711,45.0481,26.3908
2013-11-10,0.7592,50.8551,39.3329,24.168000000000003
2013-11-20,0.7721,51.7644,37.3356,25.5555
2013-11-30,0.7632,14.6674,44.7034,27.1593
2013-12-10,0.7266,1.4955,47.0211,31.0343
2013-12-20,0.67,1.4789,47.3158,31.2738
2013-12-31,0.6082,1.8408,54.7596,32.4419
2014-01-10,0.5532,3.4078,51.1991,35.3148
2014-01-20,0.5102,2.1326,52.7146,36.2044
2014-01-31,0.4797,2.9743,65.2025,37.5656
2014-02-10,0.4591,8.4242,52.0593,38.2142
2014-02-20,0.4523,7.079,47.3824,37.1905
2014-02-28,0.4575,3.1489999999999996,49.5055,38.0956
2014-03-10,0.4794,6.3191,64.3153,39.2222
2014-03-20,0.5217,42.2752,54.8941,35.2219
2014-03-31,0.5808,63.4994,57.1837,34.2487
2014-04-10,0.6388,63.1797,52.0495,31.0954
2014-04-20,0.6849,26.6581,49.0203,28.0297
2014-04-30,0.7141,28.070999999999998,45.9651,28.4744
2014-05-10,0.7318,89.2019,40.2178,27.9757
2014-05-20,0.7387,40.9236,38.8467,26.1539
2014-05-31,0.7294,51.5074,47.6219,26.3015
2014-06-10,0.6954,9.4833,46.0233,26.8883
2014-06-20,0.628,13.3601,43.8582,25.8843
2014-06-30,0.5623,6.7309,44.2651,26.3417
2014-07-10,0.5173,24.046999999999997,43.1151,28.2041
2014-07-20,0.4978,10.886,44.8872,28.2799
2014-07-31,0.49700000000000005,14.1158,49.4863,29.5857
2014-08-10,0.5004,8.4126,47.7678,30.4569
2014-08-20,0.5032,6.4698,49.8773,28.02
2014-08-31,0.5182,62.2981,53.9589,32.7017
2014-09-10,0.5423,17.0269,49.0182,30.283
2014-09-20,0.5632,20.0439,50.0733,32.5489
2014-09-30,0.5835,21.8676,48.5276,32.0372
2014-10-10,0.6114,71.3696,40.2588,28.7615
2014-10-20,0.6585,48.8716,40.2198,25.6003
2014-10-31,0.7088,36.4487,44.7467,25.1489
2014-11-10,0.7426,12.5514,43.7906,25.8581
2014-11-20,0.7519,8.3893,45.2582,25.6214
2014-11-30,0.7459,37.0873,38.5551,26.7242
2014-12-10,0.7129,3.3376,46.2637,28.1386
2014-12-20,0.6621,2.8644,48.7232,32.0386
2014-12-31,0.6005,3.85,53.7164,34.9848
2015-01-10,0.5413,3.8092,52.3849,37.39
2015-01-20,0.4915,3.2946,54.9151,37.5358
2015-01-31,0.4527,3.7035,63.8266,37.9037
2015-02-10,0.4248,4.5728,63.6398,40.647
2015-02-20,0.4033,3.4078,62.9851,40.9233
2015-02-28,0.3848,2.785,51.5794,39.4441
2015-03-10,0.3863,6.9262,70.4751,44.0662
2015-03-20,0.4073,7.2679,66.3863,40.5839
2015-03-31,0.4549,33.3511,53.7067,33.7737
2015-04-10,0.5321,97.2325,43.0808,31.2108
2015-04-20,0.6215,67.1244,44.9142,31.8713
2015-04-30,0.6903,112.5358,40.3186,27.5737
2015-05-10,0.7337,55.9304,35.1494,24.8986
2015-05-20,0.7514,28.1343,40.2719,25.9154
2015-05-31,0.7483,46.3763,46.5459,26.0873
2015-06-10,0.7262,17.5006,42.8014,25.9234
2015-06-20,0.6842,19.2193,41.9319,26.4108
2015-06-30,0.635,9.5081,43.8893,28.7788
2015-07-10,0.5899,5.7976,47.9926,27.8518
2015-07-20,0.5552,15.0253,45.4676,30.4702
2015-07-31,0.5434,14.6911,50.835,28.9468
2015-08-10,0.5477,6.5919,47.0758,28.9642
2015-08-20,0.556,10.4988,52.1397,31.8659
2015-08-31,0.5584,6.9842,58.806000000000004,33.2891
2015-09-10,0.5391,14.161,56.5536,34.3559
2015-09-20,0.5206,14.0735,55.8218,34.9105
2015-09-30,0.5243,38.2271,49.4929,34.3029
2015-10-10,0.5672,56.2669,44.7548,29.2835
2015-10-20,0.6361,71.5509,42.6912,27.4919
2015-10-31,0.7035,41.792,44.32,25.5245
